SAAR,CWI
507.6152,65.951675
509.9632,67.071795
514.4253,68.331695
518.8047,69.722845
523.2926,71.35308
528.1294,72.722775
538.9138,75.19157
548.2827,77.476415
556.5822,79.84504
570.064,82.356065
580.7101,84.229245
586.5307,85.730935
594.2478,86.948565
600.4912,88.52155
611.2536,90.374865
629.7298,93.322445
638.6966,95.180245
649.8921,96.821
662.3957,99.141615
678.9249,101.42375
698.0405,104.017115
713.4124,106.427435
726.7224,108.4474
744.0019,110.895605
764.5302,113.268595
776.9566,115.15335
797.1231,116.526155
814.7341,117.84457
831.0198,118.545845
848.4927,119.5316
883.8589,120.69646
952.9836,121.90148
995.7819,122.308705
1029.1435,122.522095
1087.2141,122.905665
1195.7238,123.387675
1291.3731,123.62868
1395.0602,123.78935
1501.4618,124.081755
1597.1112,124.28259
1699.1907,124.44326
1798.8588,124.684265
1896.4137,124.93141
2000.9045,125.132245
2099.7689,125.292915
2195.4182,125.654425
2291.288,125.797905
2399.1066,126.059625
2499.5785,126.340795
2597.6392,126.62197
2698.1112,126.78264
2798.5831,127.184315
2840.6139,127.160755
2893.7643,127.34622
2943.2066,127.420345
2990.2173,127.547055
3035.4103,127.679935
3094.7082,127.707725
3141.899,127.809735
3194.3764,127.94873
3260.0755,128.13422
3313.3198,128.264015
3352.7202,128.350405
3397.8174,128.350405
